,Country Name,Country Code,Death rate,gdp,population % 0-14,population % over 65,population % 15-65
153,Malta,MLT,7.9,29196.9777453786,13.1987860865651,18.8412715044687,67.9599424089662
154,Myanmar,MMR,8.819,1477.45290479479,25.1236148386325,6.45415218310218,68.4222329782654
155,Middle East & North Africa (excluding high income),MNA,5.65299678779145,3120.19843893516,31.2808657879198,5.40900366816933,63.3101305439109
156,Montenegro,MNE,11.7,7677.36914105517,18.2062562843029,15.966123384959,65.8276203307381
157,Mongolia,MNG,5.475,4041.17414513165,32.2020073854056,4.26028318310069,63.5377094314938
158,Mozambique,MOZ,8.004,454.062364345564,43.8634715706682,2.6001260045508,53.5364024247809
159,Mauritania,MRT,7.466,1868.46824831502,42.3760951593089,3.30473668106113,54.31916815963
160,Mauritius,MUS,8.7,9005.46202174274,17.0297285270962,11.783114473996,71.1871569989078
161,Malawi,MWI,6.706,622.184591368491,43.7277267247152,2.78899873440563,53.4832745408792
162,Malaysia,MYS,5.311,10160.8293465592,23.2770892451694,7.01171985186864,69.7111909029619
163,North America,NAC,10.0734968819728,61461.1211260357,18.2389305703688,16.4084810937067,65.3525883359246
164,Namibia,NAM,8.475,4252.04180684509,36.2036368194422,4.03264556076137,59.7637176197964
165,New Caledonia,NCL,5.7,34700.9816157681,22.7323037817341,10.3790812247078,66.888614993558
166,Niger,NER,8.281,564.821997328603,48.9484525711188,2.43561192051078,48.6159355083704
167,Nigeria,NGA,12.997,2074.61392802438,43.5018845540314,3.00253320729103,53.4955822386776
168,Nicaragua,NIC,5.703,1876.60737169569,30.4021280376524,5.0583597688863,64.5395121934612
169,Netherlands,NLD,9.7,52162.5701150397,15.6002582801428,19.6470630241117,64.7526786957455
170,Norway,NOR,7.5,68340.0181033702,17.2111656129486,17.7299264903652,65.0589078966861
171,Nepal,NPL,7.209,1139.18989202387,30.1158819096396,6.03979862431386,63.8443194660466
172,Nauru,NRU,6.602,10124.7004971896,38.9687373122209,2.11936662606577,58.9118960617134
173,New Zealand,NZL,6.41,41760.5947839997,19.0681692154534,15.5784074852007,65.3534232993459
174,OECD members,OED,9.7700361524631,38341.3207587843,17.6205897202905,17.3914206486087,64.9879896311008
175,Oman,OMN,3.025,16707.6230063214,25.6434693104732,2.75632877019262,71.6002019193342
176,Other small states,OSS,7.44307081949723,11679.5574715833,30.0825293648397,5.61010410165377,64.3073665335065
177,Pakistan,PAK,7.06,1322.31478270271,37.2723784741093,4.17417916257474,58.553442363316
178,Panama,PAN,5.747,13293.3332050433,26.6787777979979,8.36375961092554,64.9574625910765
179,Peru,PER,7.327,6063.62657980167,26.6748703998912,8.25253456293149,65.0725950371773
180,Philippines,PHL,5.566,3224.4228110466,30.9411761743497,5.22218731894015,63.8366365067102
